i_id,sbbh,yyzt,fx,gs,yyjssj,jd,cx,yykssj,wd,sd,cph,GPStime
701,64625128012,空车,78,富达,1625097600000,116.591205,新桑塔纳,1088640000000,35.416546,0.0,鲁HT**26,1654041678000
702,00076573445,载客,188,富达,1590451200000,116.648163,老捷达,1053993600000,35.379106,44.5,鲁HT**03,1654041678000
703,64625128340,空车,268,新交运,1479427200000,116.608866,比亚迪秦,1479427200000,35.41868,16.5,HDN**69,1654041678000
704,64625129022,空车,296,新交运,1480032000000,116.607031,比亚迪秦,1480032000000,35.52364,0.0,HDQ**26,1654041678000
705,64625128708,空车,163,富达,1594166400000,116.587186,新捷达,1073606400000,35.401523,0.0,鲁HT**00,1654041679000
706,64625129218,空车,96,联运,-2208988800000,116.575483,新桑塔纳,1471996800000,35.431831,0.0,鲁HT**33,1654041679000
707,00056990573,空车,51,联运,1628726400000,116.627688,东风风神,1439424000000,35.431361,0.0,HDF**66,1654041679000
708,64625129309,空车,135,华通,-2208988800000,116.598013,比亚迪秦,1473638400000,35.408045,0.0,HDT**60,1654041679000
709,64625128301,空车,35,新交运,1640563200000,116.557106,奇瑞,1451260800000,35.500798,0.0,鲁HT**10,1654041679000
710,64625128188,空车,87,富达,-2208988800000,116.654458,新捷达,1467676800000,35.439033,0.0,鲁HT**96,1654041679000
711,64625128394,空车,349,联运,1601510400000,116.597768,新捷达,1080864000000,35.361556,0.0,鲁HT**78,1654041679000
712,64625128376,载客,133,交运,1604188800000,116.581108,新捷达,1083369600000,35.383603,0.0,鲁HT**12,1654041679000
713,64625127852,空车,188,交运,1619827200000,116.61475,新桑塔纳,1083369600000,35.386455,0.0,鲁HT**08,1654041679000
714,64625128111,空车,357,富达,1431993600000,116.559895,新桑塔纳,1100908800000,35.404265,39.2,鲁HT**36,1654041679000
715,64625128550,载客,168,联运,1621987200000,116.591135,老捷达,1085616000000,35.415091,0.0,鲁HT**68,1654041680000
716,00076573449,空车,78,新交运,1479427200000,116.678656,新桑塔纳,1479427200000,35.387908,0.0,鲁HT**81,1654041680000
717,64625128374,空车,268,交运,1603152000000,116.598786,老捷达,1082505600000,35.383136,0.0,鲁HT**06,1654041680000
718,64625129058,载客,262,交运,1565222400000,116.828156,新桑塔纳,1073606400000,35.50708,39.0,鲁HT**45,1654041680000
719,64625129036,空车,86,众鑫,1479945600000,116.608828,新捷达,1479945600000,35.443145,0.0,鲁HT**98,1654041680000
720,64625129300,空车,69,华通,1603756800000,116.62107,老捷达,1081382400000,35.403626,0.0,鲁HT**57,1654041680000
721,64625127905,空车,99,富达,-2208988800000,116.605595,老捷达,1471910400000,35.523693,0.0,鲁HT**58,1654041680000
722,64625128397,空车,75,联运,1606780800000,116.555003,新捷达,1086048000000,35.404003,0.0,鲁HT**19,1654041680000
723,64625128836,空车,7,新交运,1479859200000,116.597123,新桑塔纳,1479859200000,35.41089,7.5,鲁HT**56,1654041680000
724,64625129027,载客,180,新交运,1480032000000,116.602441,新捷达,1480032000000,35.425771,33.4,鲁HT**78,1654041681000
725,64625128459,空车,3,交运,1272585600000,116.63247,老捷达,1083369600000,35.39025,0.0,鲁HT**56,1654041681000
726,64625128168,载客,134,交运,-2208988800000,116.602456,新捷达,1473206400000,35.421115,0.0,鲁HT**95,1654041681000
727,64625129179,空车,3,联运,1615334400000,116.604683,吉利帝豪,1078963200000,35.414185,0.0,HDT**81,1654041681000
728,64625128432,空车,64,华通,1601942400000,116.587138,新捷达,1080777600000,35.3849,0.0,鲁HT**60,1654041681000
729,64625128748,空车,90,汇通,-2208988800000,116.557218,新捷达,1471910400000,35.405645,37.8,鲁HT**99,1654041681000
730,64625128156,空车,135,联运,1604188800000,116.55789,新捷达,1083369600000,35.441313,0.0,鲁HT**29,1654041681000
731,64625127948,空车,332,富达,1609200000000,116.648413,新捷达,1072742400000,35.450651,0.0,鲁HT**78,1654041681000
732,00029780615,空车,130,富达,1588204800000,116.5869,新捷达,1067472000000,35.414726,0.0,鲁HT**36,1654041682000
733,64625128177,空车,179,联运,1565913600000,116.543786,老捷达,1045440000000,35.509891,79.2,鲁HT**82,1654041682000
734,00013926168,空车,85,新交运,1640563200000,116.593483,奇瑞,1451260800000,35.384415,0.0,鲁HT**60,1654041682000
735,64625128377,载客,177,新交运,1479427200000,116.576433,比亚迪秦,1479427200000,35.402076,52.5,HDQ**35,1654041682000
736,64625127808,空车,0,交运,1594166400000,116.553156,悦动,1073260800000,35.408895,0.0,鲁HT**22,1654041682000
737,64625128279,空车,20,华通,1605571200000,116.444886,悦动,1083369600000,35.497098,0.0,鲁HT**11,1654041682000
738,64625128363,空车,286,众鑫,1479427200000,116.565956,新捷达,1479427200000,35.415766,6.5,鲁HT**52,1654041682000
739,64625129201,空车,1,北城,1605052800000,116.602655,新捷达,1084320000000,35.433615,38.5,鲁HT**09,1654041682000
740,64625127804,空车,92,交运,-2208988800000,116.599775,新捷达,1467849600000,35.410785,30.5,鲁HT**07,1654041682000
741,64625129078,载客,0,北城,1609891200000,116.602558,新悦动,1073433600000,35.423606,40.3,鲁HT**62,1654041683000
742,64625128586,空车,351,华通,1635206400000,116.581356,新捷达,1114560000000,35.404683,0.0,鲁HT**69,1654041683000
743,64625128841,空车,354,新交运,1479859200000,116.552525,新桑塔纳,1479859200000,35.420761,20.0,鲁HT**19,1654041683000
744,64625129067,空车,314,华中,1601942400000,116.555035,悦动,1081296000000,35.413568,0.0,鲁HT**89,1654041683000
745,64625128447,空车,19,联运,1630454400000,116.56742,新捷达,1093996800000,35.413386,0.0,鲁HT**02,1654041683000
746,64625128611,空车,113,华通,1605052800000,116.581073,悦动,1084320000000,35.455743,0.0,鲁HT**81,1654041683000
747,64625127920,空车,173,联运,1603756800000,116.598913,新捷达,1085702400000,35.382706,0.0,鲁HT**60,1654041683000
748,64625129333,空车,183,众鑫,1479427200000,116.696128,新捷达,1479427200000,35.41797,0.0,鲁HT**32,1654041683000
749,64625129293,空车,137,华中,-2208988800000,116.571735,铃木启悦,1476144000000,35.496081,0.0,鲁HT**91,1654041683000
750,64625128946,空车,291,汇通,1636675200000,116.557465,伊兰特,1447372800000,35.416203,0.0,鲁HT**26,1654041684000
751,64625128947,空车,240,众鑫,1479427200000,116.684961,新捷达,1479427200000,35.40664,0.0,鲁HT**32,1654041684000
752,64625129238,载客,59,华通,1601510400000,116.61894,伊兰特,1080777600000,35.440008,0.0,鲁HT**00,1654041684000
753,64625128693,空车,174,联运,1646179200000,116.579145,新捷达,1456963200000,35.39826,0.0,鲁HT**67,1654041684000
754,64625129253,空车,86,华通,1599436800000,116.558461,新捷达,1078704000000,35.415923,0.0,鲁HT**23,1654041684000
755,64625128758,空车,133,北城,1598918400000,116.612651,新捷达,1078099200000,35.404743,0.0,鲁HT**08,1654041684000
756,64625128787,空车,266,联运,1597708800000,116.595321,新捷达,1077148800000,35.440628,0.0,鲁HT**73,1654041684000
